base_name video_name class width height x y
387_Shoplifting052_x264 387_Shoplifting052_x264_1 1 428 480 73 0
390_Shoplifting052_x264 390_Shoplifting052_x264_1 1 264 478 137 0
401_video--cH7TGI6zUk 401_video--cH7TGI6zUk_1 1 235 333 197 83
404_video-2EoU6EXnPuE 404_video-2EoU6EXnPuE_2 1 267 210 163 231
407_video-2OM3oqQ2RbE_resize_0 407_video-2OM3oqQ2RbE_resize_0_2 1 291 454 250 26
409_video-2OM3oqQ2RbE_resize_2 409_video-2OM3oqQ2RbE_resize_2_1 1 312 480 122 0
410_video-2OM3oqQ2RbE_resize_2 410_video-2OM3oqQ2RbE_resize_2_2 1 376 480 61 0
411_video-2OM3oqQ2RbE_resize_3 411_video-2OM3oqQ2RbE_resize_3_1 1 295 445 130 35
413_video-2gqpXl8I7mE_resize 413_video-2gqpXl8I7mE_resize_1 1 100 160 181 156
414_video-2gqpXl8I7mE_resize 414_video-2gqpXl8I7mE_resize_1 1 76 163 198 157
415_video-2gqpXl8I7mE_resize 415_video-2gqpXl8I7mE_resize_1 1 75 150 199 160
416_video-2gqpXl8I7mE_resize 416_video-2gqpXl8I7mE_resize_1 1 81 150 192 160
417_video-2gqpXl8I7mE_resize 417_video-2gqpXl8I7mE_resize_1 1 78 151 198 160
428_video-3-oz1SPWiY4 428_video-3-oz1SPWiY4_1 1 186 295 297 143
429_video-3-oz1SPWiY4 429_video-3-oz1SPWiY4_1 1 223 331 290 132
437_video-4WZo39BbE3o_2 437_video-4WZo39BbE3o_2_4 1 87 223 442 57
438_video-4WZo39BbE3o_2 438_video-4WZo39BbE3o_2_6 1 75 204 459 64
442_video-4yzKIYbm6tM 442_video-4yzKIYbm6tM_1 1 261 425 277 55
443_video-4yzKIYbm6tM 443_video-4yzKIYbm6tM_1 1 235 417 301 63
449_video-64zoxiMu0p8_1 449_video-64zoxiMu0p8_1_1 1 405 365 61 93
450_video-64zoxiMu0p8_1 450_video-64zoxiMu0p8_1_1 1 233 274 131 179
450_video-64zoxiMu0p8_1 450_video-64zoxiMu0p8_1_2 1 186 296 66 108
451_video-64zoxiMu0p8_1 451_video-64zoxiMu0p8_1_1 1 198 295 110 156
452_video-64zoxiMu0p8_1 452_video-64zoxiMu0p8_1_1 1 250 307 97 148
456_video-64zoxiMu0p8_1 456_video-64zoxiMu0p8_1_2 1 207 318 115 135
457_video-64zoxiMu0p8_1 457_video-64zoxiMu0p8_1_3 1 360 358 139 93
460_video-64zoxiMu0p8_1 460_video-64zoxiMu0p8_1_1 1 293 342 113 112
463_video-64zoxiMu0p8_1 463_video-64zoxiMu0p8_1_1 1 166 247 137 130
464_video-64zoxiMu0p8_1 464_video-64zoxiMu0p8_1_1 1 171 166 112 216
477_video-A_KcGe-nqjw 477_video-A_KcGe-nqjw_1 1 242 230 208 219
480_video-A_KcGe-nqjw 480_video-A_KcGe-nqjw_2 1 213 316 223 91
484_video-b2e5xXVYEnY_resize 484_video-b2e5xXVYEnY_resize_2 1 89 173 269 163
485_video-b2e5xXVYEnY_resize 485_video-b2e5xXVYEnY_resize_1 1 146 272 256 138
487_video-bIxeQKzk9-0 487_video-bIxeQKzk9-0_1 1 142 300 77 149
488_video-bIxeQKzk9-0 488_video-bIxeQKzk9-0_1 1 118 176 58 158
497_video-cxzukX7Z_1I_resize 497_video-cxzukX7Z_1I_resize_1 1 187 336 411 117
498_video-cxzukX7Z_1I_resize 498_video-cxzukX7Z_1I_resize_2 1 192 338 411 115
499_video-cxzukX7Z_1I_resize 499_video-cxzukX7Z_1I_resize_1 1 198 355 411 104
500_video-cxzukX7Z_1I_resize 500_video-cxzukX7Z_1I_resize_1 1 199 353 411 104
501_video-cxzukX7Z_1I_resize 501_video-cxzukX7Z_1I_resize_1 1 298 404 317 64
507_video-DKqb-0bBx7E_resize 507_video-DKqb-0bBx7E_resize_3 1 205 296 435 141
508_video-DKqb-0bBx7E_resize 508_video-DKqb-0bBx7E_resize_2 1 153 267 486 130
510_video-DKqb-0bBx7E_resize 510_video-DKqb-0bBx7E_resize_5 1 336 168 142 268
511_video-DKqb-0bBx7E_resize 511_video-DKqb-0bBx7E_resize_4 1 212 314 378 134
515_video-DKqb-0bBx7E_resize 515_video-DKqb-0bBx7E_resize_1 1 230 340 402 99
520_video-DXlgdJ34Gnc_resize 520_video-DXlgdJ34Gnc_resize_2 1 123 168 146 119
521_video-DXlgdJ34Gnc_resize 521_video-DXlgdJ34Gnc_resize_1 1 125 161 142 120
547_video-F-zT2pI-lnQ_2 547_video-F-zT2pI-lnQ_2_1 1 148 258 258 55
559_video-fs-ifFsc8Bg_resize 559_video-fs-ifFsc8Bg_resize_1 1 247 304 44 125
589_video-GB0e1M5p3NU 589_video-GB0e1M5p3NU_6 1 111 141 260 164
594_video-GB0e1M5p3NU 594_video-GB0e1M5p3NU_1 1 90 147 234 166
602_video-gkitFhxrYc8 602_video-gkitFhxrYc8_1 1 152 329 191 58
603_video-gkitFhxrYc8 603_video-gkitFhxrYc8_1 1 141 333 195 57
604_video-gkitFhxrYc8 604_video-gkitFhxrYc8_1 1 138 326 195 61
605_video-HsaTjpESyDU 605_video-HsaTjpESyDU_1 1 437 480 136 0
606_video-HsaTjpESyDU 606_video-HsaTjpESyDU_1 1 250 393 221 87
607_video-HsaTjpESyDU 607_video-HsaTjpESyDU_1 1 342 442 136 38
608_video-HsaTjpESyDU 608_video-HsaTjpESyDU_1 1 404 480 53 0
609_video-HsaTjpESyDU 609_video-HsaTjpESyDU_1 1 293 427 157 53
621_video-lZPbkfUYavo 621_video-lZPbkfUYavo_1 1 76 161 51 141
635_video-OXlaho8wayQ_resize 635_video-OXlaho8wayQ_resize_1 1 296 285 156 98
744_video-t0-8_s0u75k 744_video-t0-8_s0u75k_1 1 298 314 118 40
745_video-t0-8_s0u75k 745_video-t0-8_s0u75k_1 1 269 285 119 102
747_video-u6dGiANdDNQ_1 747_video-u6dGiANdDNQ_1_1 1 100 188 113 87
759_video-uGpFQT3Uiig_1 759_video-uGpFQT3Uiig_1_1 1 112 210 405 90
781_video-vA9duDV6VFc_0 781_video-vA9duDV6VFc_0_5 1 231 226 253 201
785_video-vA9duDV6VFc_1 785_video-vA9duDV6VFc_1_2 1 99 123 110 211
786_video-vA9duDV6VFc_1 786_video-vA9duDV6VFc_1_2 1 113 136 106 211
787_video-vA9duDV6VFc_1 787_video-vA9duDV6VFc_1_4 1 134 120 31 211
795_video-vBu6OiSdrds_resize 795_video-vBu6OiSdrds_resize_1 1 230 354 361 126
796_video-vBu6OiSdrds_resize 796_video-vBu6OiSdrds_resize_1 1 252 416 356 56
817_video-WMeziHjV7Sc_resize 817_video-WMeziHjV7Sc_resize_1 1 99 172 371 50
818_video-WMeziHjV7Sc_resize 818_video-WMeziHjV7Sc_resize_1 1 100 160 370 55
819_video-WMeziHjV7Sc_resize 819_video-WMeziHjV7Sc_resize_3 1 96 172 377 53
834_video-yyUaFBMwLlA_resize 834_video-yyUaFBMwLlA_resize_1 1 90 201 201 75
836_video-yyUaFBMwLlA_resize 836_video-yyUaFBMwLlA_resize_1 1 94 213 200 87
851_video-Z65lGGMaSFE_2 851_video-Z65lGGMaSFE_2_4 1 196 387 347 67
852_video-Z65lGGMaSFE_2 852_video-Z65lGGMaSFE_2_4 1 184 370 370 68
854_video-Z65lGGMaSFE_2 854_video-Z65lGGMaSFE_2_4 1 150 389 413 69
859_video--JIyKmeGOSU_0 859_video--JIyKmeGOSU_0_2 1 102 186 271 150
862_video--JIyKmeGOSU_1 862_video--JIyKmeGOSU_1_3 1 138 101 364 330
875_video-2BJHqG23sRg 875_video-2BJHqG23sRg_1 1 93 144 143 108
876_video-2BJHqG23sRg 876_video-2BJHqG23sRg_1 1 78 132 144 118
877_video-2BJHqG23sRg 877_video-2BJHqG23sRg_2 1 67 77 162 167
878_video-2BJHqG23sRg 878_video-2BJHqG23sRg_1 1 124 144 139 112
880_video-2WiTNsc1Tnc 880_video-2WiTNsc1Tnc_1 1 208 414 191 45
881_video-2WiTNsc1Tnc 881_video-2WiTNsc1Tnc_1 1 246 363 260 86
883_video-3k6uSfNfhrc 883_video-3k6uSfNfhrc_1 1 221 348 219 47
884_video-3k6uSfNfhrc 884_video-3k6uSfNfhrc_1 1 234 328 210 76
885_video-3k6uSfNfhrc 885_video-3k6uSfNfhrc_1 1 159 370 277 74
960_video-5Uhe1M6XieE 960_video-5Uhe1M6XieE_2 1 440 332 71 117
966_video-5Uhe1M6XieE 966_video-5Uhe1M6XieE_3 1 284 319 230 137
967_video-5Uhe1M6XieE 967_video-5Uhe1M6XieE_2 1 284 304 230 148
968_video-5Uhe1M6XieE 968_video-5Uhe1M6XieE_2 1 285 302 234 149
969_video-5Uhe1M6XieE 969_video-5Uhe1M6XieE_2 1 321 418 194 42
980_video-5k4fhs3R16w_1 980_video-5k4fhs3R16w_1_1 1 369 303 0 146
999_video-5k4fhs3R16w_1 999_video-5k4fhs3R16w_1_1 1 140 321 0 71
1016_video-AKcQT7pSMGk 1016_video-AKcQT7pSMGk_3 1 77 184 360 110
1018_video-AKcQT7pSMGk 1018_video-AKcQT7pSMGk_5 1 92 233 317 206
1054_video-HNyUVi6zBAc 1054_video-HNyUVi6zBAc_1 1 247 358 133 77
1064_video-HNyUVi6zBAc 1064_video-HNyUVi6zBAc_3 1 225 358 141 69
1079_video-HNyUVi6zBAc 1079_video-HNyUVi6zBAc_1 1 136 254 160 130
1080_video-HNyUVi6zBAc 1080_video-HNyUVi6zBAc_2 1 149 285 178 95
1113_video-HNyUVi6zBAc 1113_video-HNyUVi6zBAc_2 1 156 273 168 119
1114_video-HNyUVi6zBAc 1114_video-HNyUVi6zBAc_2 1 172 367 159 92
1132_video-IZJwmFY4QdU 1132_video-IZJwmFY4QdU_3 1 296 415 177 33
1139_video-JZfQWhp5RFs 1139_video-JZfQWhp5RFs_1 1 118 159 190 143
1139_video-JZfQWhp5RFs 1139_video-JZfQWhp5RFs_2 1 92 144 299 122
1140_video-JZfQWhp5RFs 1140_video-JZfQWhp5RFs_2 1 101 141 301 123
1140_video-JZfQWhp5RFs 1140_video-JZfQWhp5RFs_3 1 113 152 200 137
1161_video-MOdHbCSGhy4 1161_video-MOdHbCSGhy4_1 1 160 306 180 174
1173_video-O4WmGxy9lC8 1173_video-O4WmGxy9lC8_1 1 105 180 227 123
1241_video-VBdgLz8dDls 1241_video-VBdgLz8dDls_3 1 112 188 304 94
1271_video-XdQSCBs8KPo 1271_video-XdQSCBs8KPo_3 1 300 382 0 98
1363_video-ZKQ8QiPdo00 1363_video-ZKQ8QiPdo00_1 1 102 230 373 61
1391_video-eTBjeTEawR0 1391_video-eTBjeTEawR0_1 1 330 368 0 83
1393_video-eTBjeTEawR0 1393_video-eTBjeTEawR0_2 1 356 366 135 114
1395_video-eTBjeTEawR0 1395_video-eTBjeTEawR0_2 1 483 317 157 163
1405_video-eo6TxMSCZ_8 1405_video-eo6TxMSCZ_8_1 1 176 407 28 0
1406_video-eo6TxMSCZ_8 1406_video-eo6TxMSCZ_8_1 1 196 418 23 0
1411_video-evPpXY_DoGA 1411_video-evPpXY_DoGA_1 1 338 250 253 197
1416_video-fEYEGALJgZY 1416_video-fEYEGALJgZY_1 1 102 165 264 13
1422_video-hZrEweU8x1M 1422_video-hZrEweU8x1M_1 1 122 163 185 9
1424_video-hZrEweU8x1M 1424_video-hZrEweU8x1M_1 1 59 186 0 24
1427_video-hZrEweU8x1M 1427_video-hZrEweU8x1M_3 1 63 151 7 5
1429_video-hZrEweU8x1M 1429_video-hZrEweU8x1M_2 1 201 401 0 17
1432_video-hZrEweU8x1M 1432_video-hZrEweU8x1M_1 1 179 423 0 9
1432_video-hZrEweU8x1M 1432_video-hZrEweU8x1M_2 1 106 161 193 14
1434_video-hZrEweU8x1M 1434_video-hZrEweU8x1M_6 1 140 102 307 0
1436_video-hZrEweU8x1M 1436_video-hZrEweU8x1M_1 1 464 339 4 141
1438_video-hZrEweU8x1M 1438_video-hZrEweU8x1M_1 1 417 314 22 166
1444_video-kYwPNAdKTpI_0 1444_video-kYwPNAdKTpI_0_4 1 78 79 131 27
1450_video-kYwPNAdKTpI_1 1450_video-kYwPNAdKTpI_1_2 1 158 234 397 61
1451_video-kYwPNAdKTpI_1 1451_video-kYwPNAdKTpI_1_2 1 206 409 361 71
1460_video-kYwPNAdKTpI_2 1460_video-kYwPNAdKTpI_2_1 1 267 336 158 144
1461_video-kYwPNAdKTpI_2 1461_video-kYwPNAdKTpI_2_2 1 220 288 146 192
1517_video-o6HozKyz2cE 1517_video-o6HozKyz2cE_1 1 413 332 123 141
1534_video-wan0OOX7YBU 1534_video-wan0OOX7YBU_1 1 172 372 271 66
1535_video-wan0OOX7YBU 1535_video-wan0OOX7YBU_1 1 201 398 229 44
1536_video-wan0OOX7YBU 1536_video-wan0OOX7YBU_1 1 223 379 234 58
1537_video-wan0OOX7YBU 1537_video-wan0OOX7YBU_1 1 183 389 239 47
1538_video-wan0OOX7YBU 1538_video-wan0OOX7YBU_1 1 216 399 205 37
1539_video-wan0OOX7YBU 1539_video-wan0OOX7YBU_1 1 222 410 201 35
1541_video-wan0OOX7YBU 1541_video-wan0OOX7YBU_1 1 198 382 250 40
1542_video-wan0OOX7YBU 1542_video-wan0OOX7YBU_1 1 150 389 253 34
1543_video-wan0OOX7YBU 1543_video-wan0OOX7YBU_1 1 168 307 195 32
4_Shoplifting001_x264 4_Shoplifting001_x264_1 0 285 347 262 133
15_Shoplifting005_x264 15_Shoplifting005_x264_1 0 444 480 58 0
17_Shoplifting005_x264 17_Shoplifting005_x264_1 0 341 470 86 10
70_Shoplifting010_x264 70_Shoplifting010_x264_1 0 189 283 150 197
71_Shoplifting010_x264 71_Shoplifting010_x264_2 0 153 314 153 166
74_Shoplifting010_x264 74_Shoplifting010_x264_1 0 127 358 145 92
164_Shoplifting016_x264 164_Shoplifting016_x264_1 0 330 361 76 119
166_Shoplifting016_x264 166_Shoplifting016_x264_1 0 334 480 90 0
168_Shoplifting018_x264 168_Shoplifting018_x264_2 0 258 385 350 95
173_Shoplifting018_x264 173_Shoplifting018_x264_2 0 129 316 441 20
208_Shoplifting022_x264 208_Shoplifting022_x264_1 0 344 441 55 22
211_Shoplifting022_x264 211_Shoplifting022_x264_1 0 332 402 8 69
212_Shoplifting022_x264 212_Shoplifting022_x264_1 0 308 334 41 116
214_Shoplifting022_x264 214_Shoplifting022_x264_1 0 297 430 29 31
222_Shoplifting029_x264 222_Shoplifting029_x264_2 0 171 321 151 68
224_Shoplifting029_x264 224_Shoplifting029_x264_1 0 358 399 0 56
243_Shoplifting034_x264 243_Shoplifting034_x264_1 0 159 261 299 2
246_Shoplifting034_x264 246_Shoplifting034_x264_1 0 128 204 254 0
250_Shoplifting034_x264 250_Shoplifting034_x264_2 0 307 440 191 40
252_Shoplifting034_x264 252_Shoplifting034_x264_3 0 449 425 0 55
269_Shoplifting040_x264 269_Shoplifting040_x264_1 0 317 294 173 186
269_Shoplifting040_x264 269_Shoplifting040_x264_2 0 192 246 67 234
271_Shoplifting040_x264 271_Shoplifting040_x264_3 0 332 316 151 164
271_Shoplifting040_x264 271_Shoplifting040_x264_4 0 236 276 404 204
272_Shoplifting040_x264 272_Shoplifting040_x264_1 0 242 317 119 163
272_Shoplifting040_x264 272_Shoplifting040_x264_6 0 224 230 346 250
274_Shoplifting040_x264 274_Shoplifting040_x264_3 0 479 313 161 167
281_Shoplifting040_x264 281_Shoplifting040_x264_2 0 228 284 189 196
283_Shoplifting040_x264 283_Shoplifting040_x264_4 0 298 322 342 158
294_Shoplifting040_x264 294_Shoplifting040_x264_4 0 353 293 266 187
296_Shoplifting040_x264 296_Shoplifting040_x264_2 0 309 288 331 192
296_Shoplifting040_x264 296_Shoplifting040_x264_3 0 408 237 126 243
300_Shoplifting040_x264 300_Shoplifting040_x264_3 0 261 283 220 197
302_Shoplifting040_x264 302_Shoplifting040_x264_4 0 429 279 211 201
309_Shoplifting040_x264 309_Shoplifting040_x264_4 0 222 293 337 187
311_Shoplifting040_x264 311_Shoplifting040_x264_2 0 310 285 241 195
376_Shoplifting052_x264 376_Shoplifting052_x264_1 0 476 469 18 11
378_Shoplifting052_x264 378_Shoplifting052_x264_2 0 258 480 134 0
379_Shoplifting052_x264 379_Shoplifting052_x264_2 0 324 480 135 0
381_Shoplifting052_x264 381_Shoplifting052_x264_1 0 283 480 88 0
382_Shoplifting052_x264 382_Shoplifting052_x264_1 0 583 480 57 0
384_Shoplifting052_x264 384_Shoplifting052_x264_1 0 303 480 51 0
386_Shoplifting052_x264 386_Shoplifting052_x264_1 0 358 411 69 69
388_Shoplifting052_x264 388_Shoplifting052_x264_1 0 424 480 98 0
389_Shoplifting052_x264 389_Shoplifting052_x264_1 0 375 480 140 0
391_Shoplifting052_x264 391_Shoplifting052_x264_1 0 356 480 38 0
400_video--cH7TGI6zUk 400_video--cH7TGI6zUk_1 0 198 368 216 12
402_video--cH7TGI6zUk 402_video--cH7TGI6zUk_1 0 188 288 199 65
403_video-2EoU6EXnPuE 403_video-2EoU6EXnPuE_2 0 296 254 108 196
405_video-2EoU6EXnPuE 405_video-2EoU6EXnPuE_2 0 256 300 158 180
406_video-2OM3oqQ2RbE_resize_0 406_video-2OM3oqQ2RbE_resize_0_1 0 639 480 0 0
408_video-2OM3oqQ2RbE_resize_0 408_video-2OM3oqQ2RbE_resize_0_1 0 304 474 145 6
419_video-2gqpXl8I7mE_resize 419_video-2gqpXl8I7mE_resize_1 0 256 256 0 197
427_video-3-oz1SPWiY4 427_video-3-oz1SPWiY4_1 0 148 290 299 132
430_video-3-oz1SPWiY4 430_video-3-oz1SPWiY4_1 0 238 376 264 104
436_video-4WZo39BbE3o_2 436_video-4WZo39BbE3o_2_2 0 99 235 436 62
439_video-4WZo39BbE3o_2 439_video-4WZo39BbE3o_2_5 0 92 231 449 36
440_video-4WZo39BbE3o_3 440_video-4WZo39BbE3o_3_6 0 200 303 355 158
448_video-64zoxiMu0p8_1 448_video-64zoxiMu0p8_1_2 0 124 257 114 34
453_video-64zoxiMu0p8_1 453_video-64zoxiMu0p8_1_1 0 424 338 65 110
455_video-64zoxiMu0p8_1 455_video-64zoxiMu0p8_1_2 0 294 326 50 101
458_video-64zoxiMu0p8_1 458_video-64zoxiMu0p8_1_1 0 161 267 324 40
461_video-64zoxiMu0p8_1 461_video-64zoxiMu0p8_1_1 0 305 364 84 60
462_video-64zoxiMu0p8_1 462_video-64zoxiMu0p8_1_1 0 199 296 106 85
465_video-64zoxiMu0p8_1 465_video-64zoxiMu0p8_1_1 0 172 249 126 128
476_video-A_KcGe-nqjw 476_video-A_KcGe-nqjw_4 0 249 200 219 237
478_video-A_KcGe-nqjw 478_video-A_KcGe-nqjw_4 0 234 320 220 128
479_video-A_KcGe-nqjw 479_video-A_KcGe-nqjw_5 0 101 269 276 65
483_video-b2e5xXVYEnY_resize 483_video-b2e5xXVYEnY_resize_2 0 140 175 241 144
486_video-b2e5xXVYEnY_resize 486_video-b2e5xXVYEnY_resize_1 0 113 267 290 135
489_video-bIxeQKzk9-0 489_video-bIxeQKzk9-0_1 0 189 298 44 142
496_video-cxzukX7Z_1I_resize 496_video-cxzukX7Z_1I_resize_2 0 160 350 415 100
502_video-cxzukX7Z_1I_resize 502_video-cxzukX7Z_1I_resize_1 0 318 348 243 104
506_video-DKqb-0bBx7E_resize 506_video-DKqb-0bBx7E_resize_3 0 162 259 478 93
509_video-DKqb-0bBx7E_resize 509_video-DKqb-0bBx7E_resize_1 0 523 303 117 146
512_video-DKqb-0bBx7E_resize 512_video-DKqb-0bBx7E_resize_1 0 208 286 420 113
514_video-DKqb-0bBx7E_resize 514_video-DKqb-0bBx7E_resize_2 0 120 233 520 81
516_video-DKqb-0bBx7E_resize 516_video-DKqb-0bBx7E_resize_2 0 177 318 457 69
519_video-DXlgdJ34Gnc_resize 519_video-DXlgdJ34Gnc_resize_5 0 189 243 145 122
522_video-DXlgdJ34Gnc_resize 522_video-DXlgdJ34Gnc_resize_7 0 184 259 400 161
558_video-fs-ifFsc8Bg_resize 558_video-fs-ifFsc8Bg_resize_1 0 104 194 187 131
588_video-GB0e1M5p3NU 588_video-GB0e1M5p3NU_4 0 94 150 258 144
590_video-GB0e1M5p3NU 590_video-GB0e1M5p3NU_2 0 137 186 224 129
593_video-GB0e1M5p3NU 593_video-GB0e1M5p3NU_2 0 126 180 222 145
595_video-GB0e1M5p3NU 595_video-GB0e1M5p3NU_4 0 102 175 224 151
610_video-HsaTjpESyDU 610_video-HsaTjpESyDU_1 0 397 480 0 0
620_video-lZPbkfUYavo 620_video-lZPbkfUYavo_1 0 110 176 31 115
622_video-lZPbkfUYavo 622_video-lZPbkfUYavo_1 0 147 243 25 106
634_video-OXlaho8wayQ_resize 634_video-OXlaho8wayQ_resize_2 0 219 271 159 104
636_video-OXlaho8wayQ_resize 636_video-OXlaho8wayQ_resize_1 0 221 266 137 108
746_video-u6dGiANdDNQ_1 746_video-u6dGiANdDNQ_1_1 0 306 357 280 91
748_video-u6dGiANdDNQ_1 748_video-u6dGiANdDNQ_1_1 0 104 218 120 83
758_video-uGpFQT3Uiig_1 758_video-uGpFQT3Uiig_1_2 0 62 153 423 86
760_video-uGpFQT3Uiig_1 760_video-uGpFQT3Uiig_1_3 0 141 279 412 158
780_video-vA9duDV6VFc_0 780_video-vA9duDV6VFc_0_5 0 158 90 212 321
782_video-vA9duDV6VFc_0 782_video-vA9duDV6VFc_0_3 0 261 214 55 170
784_video-vA9duDV6VFc_1 784_video-vA9duDV6VFc_1_2 0 91 122 110 214
794_video-vBu6OiSdrds_resize 794_video-vBu6OiSdrds_resize_3 0 209 378 369 102
797_video-vBu6OiSdrds_resize 797_video-vBu6OiSdrds_resize_1 0 197 324 390 15
816_video-WMeziHjV7Sc_resize 816_video-WMeziHjV7Sc_resize_2 0 243 356 273 33
820_video-WMeziHjV7Sc_resize 820_video-WMeziHjV7Sc_resize_1 0 86 184 394 40
833_video-yyUaFBMwLlA_resize 833_video-yyUaFBMwLlA_resize_2 0 113 216 191 63
835_video-yyUaFBMwLlA_resize 835_video-yyUaFBMwLlA_resize_1 0 114 190 183 99
837_video-yyUaFBMwLlA_resize 837_video-yyUaFBMwLlA_resize_3 0 176 255 210 64
853_video-Z65lGGMaSFE_2 853_video-Z65lGGMaSFE_2_4 0 176 372 373 75
855_video-Z65lGGMaSFE_2 855_video-Z65lGGMaSFE_2_3 0 174 380 395 81
858_video--JIyKmeGOSU_0 858_video--JIyKmeGOSU_0_4 0 127 218 250 134
860_video--JIyKmeGOSU_0 860_video--JIyKmeGOSU_0_3 0 51 127 263 138
861_video--JIyKmeGOSU_1 861_video--JIyKmeGOSU_1_3 0 142 96 361 336
863_video--JIyKmeGOSU_1 863_video--JIyKmeGOSU_1_3 0 207 190 288 250
874_video-2BJHqG23sRg 874_video-2BJHqG23sRg_1 0 74 151 159 101
879_video-2BJHqG23sRg 879_video-2BJHqG23sRg_1 0 111 224 159 35
882_video-3k6uSfNfhrc 882_video-3k6uSfNfhrc_1 0 216 434 230 38
959_video-5Uhe1M6XieE 959_video-5Uhe1M6XieE_1 0 357 278 55 172
961_video-5Uhe1M6XieE 961_video-5Uhe1M6XieE_2 0 234 355 88 106
965_video-5Uhe1M6XieE 965_video-5Uhe1M6XieE_3 0 411 321 100 131
970_video-5Uhe1M6XieE 970_video-5Uhe1M6XieE_2 0 259 428 179 35
979_video-5k4fhs3R16w_1 979_video-5k4fhs3R16w_1_1 0 161 403 3 61
998_video-5k4fhs3R16w_1 998_video-5k4fhs3R16w_1_2 0 150 329 30 73
1000_video-5k4fhs3R16w_1 1000_video-5k4fhs3R16w_1_1 0 137 327 0 66
1015_video-AKcQT7pSMGk 1015_video-AKcQT7pSMGk_1 0 79 177 357 111
1017_video-AKcQT7pSMGk 1017_video-AKcQT7pSMGk_8 0 137 230 334 211
1019_video-AKcQT7pSMGk 1019_video-AKcQT7pSMGk_3 0 184 243 308 198
1053_video-HNyUVi6zBAc 1053_video-HNyUVi6zBAc_1 0 202 330 165 92
1063_video-HNyUVi6zBAc 1063_video-HNyUVi6zBAc_2 0 260 358 114 122
1065_video-HNyUVi6zBAc 1065_video-HNyUVi6zBAc_6 0 180 293 220 108
1078_video-HNyUVi6zBAc 1078_video-HNyUVi6zBAc_2 0 222 329 158 61
1081_video-HNyUVi6zBAc 1081_video-HNyUVi6zBAc_2 0 135 306 219 53
1112_video-HNyUVi6zBAc 1112_video-HNyUVi6zBAc_1 0 125 214 238 48
1115_video-HNyUVi6zBAc 1115_video-HNyUVi6zBAc_1 0 237 434 211 46
1131_video-IZJwmFY4QdU 1131_video-IZJwmFY4QdU_4 0 244 353 291 39
1138_video-JZfQWhp5RFs 1138_video-JZfQWhp5RFs_3 0 250 190 169 126
1141_video-JZfQWhp5RFs 1141_video-JZfQWhp5RFs_3 0 136 221 362 23
1160_video-MOdHbCSGhy4 1160_video-MOdHbCSGhy4_1 0 152 311 168 169
1162_video-MOdHbCSGhy4 1162_video-MOdHbCSGhy4_1 0 170 292 173 188
1172_video-O4WmGxy9lC8 1172_video-O4WmGxy9lC8_1 0 228 330 25 125
1174_video-O4WmGxy9lC8 1174_video-O4WmGxy9lC8_1 0 420 338 212 107
1240_video-VBdgLz8dDls 1240_video-VBdgLz8dDls_1 0 94 182 333 90
